date;tas;sfcwind;rlds;rsds;huss;uas;vas
1991-08-15;14.665178543683794;4.289152780857527;368.0870577672825;100.05390602819084;10.022577046135329;-2.386417952046199;-3.065011863793786
1991-08-16;18.770483514672662;3.9988341124557927;350.80346386092424;264.65756376480203;11.249064986397153;-2.966387080999037;-2.620813311215809
1991-08-17;21.176000135141635;2.2549088363885197;352.6861755593251;283.4506975450008;10.494110543203783;-1.164240959015852;-0.6598109073856446
1991-08-18;20.65923240187749;2.018130426763522;334.31911849970965;287.73843985004925;9.184915456801724;0.14922025819273882;-0.2547423043331338
1991-08-19;21.333220623396585;1.892618816819214;352.8359214502275;243.73375626497162;8.7194424462698;-0.5326560899362723;-0.8410612756858684
1991-08-20;21.499627631162923;2.3730376862718057;347.685682631356;286.4739147000482;10.490749106021124;0.9379925132614152;-0.2642989497492425
1991-08-21;21.132386151022047;2.206691786066696;352.8077293789612;264.0007583218268;11.742993872796383;0.5536808578537372;-1.0407854593071535
1991-08-22;21.945886511430103;1.5657073478776484;341.04250377173884;288.29616007985294;10.508352389016837;-0.606919362825815;-0.35974536906675736
1991-08-23;22.721546366007942;1.7308402200802677;334.8556913064538;286.96189385890176;8.675364440311176;-0.09675085212375706;-0.24774302596798406
1991-08-24;22.97323505860402;2.3652471251902156;338.0301710566838;283.82179494161414;8.403373123813186;-0.8045434543795573;-1.395820721070178
1991-08-25;23.213404202141817;2.903363741632809;339.1889057355994;281.5007656652955;8.538593591329581;-1.8597256954200612;-1.5843696217310355
1991-08-26;22.88061400166623;2.752016229217535;340.3549883298912;279.4621073997704;9.82751231217003;-1.8805317058892346;-1.5504762355801085
1991-08-27;22.737487143700832;1.8172263211425257;343.65324426065484;274.5164125387656;9.987440327530223;-0.6782397908353657;-0.6148206791195481
1991-08-28;22.855664868791905;1.6088782832396116;335.24920891060134;276.4064244347024;8.517396605830857;0.3359810556784603;0.0977407959960642
1991-08-29;22.61943935849763;1.4887431462030858;342.0038760185523;269.8841102922689;9.489821769959097;-0.6137143430257697;-0.38359515062955124
1991-08-30;22.365320621675494;3.6706709617694147;341.1286121421868;268.94761799034484;10.422232022340783;-2.2955187440688807;-2.374279748285406
1991-08-31;21.260496322964286;5.500842093519829;327.61986517881223;268.5887727834453;9.903684856002558;-3.6811831340048347;-3.8655801304753186
1991-09-01;20.54646559058176;2.7188023486572765;333.14872076501564;262.34184594858294;9.304308991274091;-1.460158342640399;-1.1788389159982757
1991-09-02;19.52616900797858;4.706879079092372;311.86213638352893;267.71338118510675;8.719558559444645;-3.000246711579496;-3.2573338020622207
1991-09-03;19.722159787275586;5.431652035790393;313.9207196178936;262.8789508868526;8.159133429346271;-3.921441700671351;-3.7097702406413506
1991-09-04;20.352476955603038;3.3081105971782896;318.9496641931095;258.7376290191194;8.511939282010465;-2.3395592008921047;-2.1328915430133026
1991-09-05;19.80765702405091;3.1728629789958145;331.2088018354077;244.72360893568845;8.872282769520757;1.3025228160875468;0.6611562386862779
1991-09-06;13.627463628107932;4.789679773474406;293.16851656443896;254.2164878793109;7.691774778450595;0.303783920508339;-1.9812101461405107
1991-09-07;9.912135897583141;4.114120966410796;265.25875706419754;252.7490185777009;4.928971362409029;-2.48819023508008;-2.987065936045891
1991-09-08;12.193389718923697;2.3211503719524083;278.37142976960877;251.82769027378694;5.458078153157667;-1.1094692646427242;-1.7690473564120641
1991-09-09;14.8079314190108;2.599327717661046;290.7429340056622;244.08019022693802;6.2298691153260775;1.5037598478721024;0.01851227502428987
1991-09-10;15.840294985283379;2.3580552364653133;303.6382335031638;229.8759203725214;6.808060794425597;1.8428976545321367;0.13684307430430942
1991-09-11;16.188493999897787;2.86358711491773;319.588910865127;192.15463062454978;7.5384728483142895;2.1218515620413556;0.5286941241152541
1991-09-12;16.31398417833475;2.025632549516185;307.35798966042245;237.67632501764376;7.305447993526513;0.5751647036036007;-1.0780863347117118
1991-09-13;14.84133486644464;2.474392670882528;317.92532683279927;229.2326836243782;7.953048750855042;1.3145502062339347;-1.371782167194951
1991-09-14;16.170954765618205;1.4738519418216423;304.13770458870454;231.9923235101227;7.6441751688172435;0.2534395621009207;-0.5315798401889618
1991-09-15;17.452341246262222;3.440709549318084;311.3178862564622;232.11354671766466;8.095017150490511;2.280610083408194;1.9526180154711525
1991-09-16;16.856252147111547;3.6266787740902795;332.60660573514787;186.85461776548402;8.47022329111147;2.7626777409063674;0.882226032188664
1991-09-17;11.170563678140184;4.937473631681407;289.00882184925587;231.11509854622665;6.73013982139309;4.254286270334753;0.3922310751757928
1991-09-18;8.993023609979048;2.162105944962781;264.42270086467954;226.60305340987904;4.487047041514577;1.2267100432191413;-0.3162341993724942
